rank,name,score,iso_score,p_sum,d_nearest_m,n_adjacent,n_inner,n_outer,nuisance_mult,nuisance_flags,fame_mult,fame_flags,steps_matched,steps_match_dist_m,steps_total_length_m,steps_elev_diff_m,elev_low_precision,est_steps_min,est_steps_max,step_count_tag,road_dist_m,hokora,dist_home_km,lat,lon,osm,osm_url,link_gsi,link_gmap,link_sv,link_dir
1,合成第1山社,100.0,100.0,0,,0,0,0,1.0,,1.0,,True,15.0,164.8,36.3,False,120,201,148,,False,64.0,35.185047,140.192585,node/3000,https://www.openstreetmap.org/node/3000,https://maps.gsi.go.jp/#17/35.185047/140.192585/,https://www.google.com/maps/search/?api=1&query=35.185047%2C140.192585,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.185047%2C140.192585,https://www.google.com/maps/dir/?api=1&destination=35.185047%2C140.192585&travelmode=driving
2,合成第3山社,100.0,100.0,0,,0,0,0,1.0,,1.0,,False,,,,False,,,,,False,65.1,35.164301,140.173374,node/3002,https://www.openstreetmap.org/node/3002,https://maps.gsi.go.jp/#17/35.164301/140.173374/,https://www.google.com/maps/search/?api=1&query=35.164301%2C140.173374,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.164301%2C140.173374,https://www.google.com/maps/dir/?api=1&destination=35.164301%2C140.173374&travelmode=driving
3,合成第5山社,100.0,100.0,0,,0,0,0,1.0,,1.0,,False,,,,False,,,,,False,54.9,35.258602,140.14641,node/3004,https://www.openstreetmap.org/node/3004,https://maps.gsi.go.jp/#17/35.258602/140.146410/,https://www.google.com/maps/search/?api=1&query=35.258602%2C140.146410,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.258602%2C140.146410,https://www.google.com/maps/dir/?api=1&destination=35.258602%2C140.146410&travelmode=driving
4,合成第6山社,99.51,99.51,0.0123,791.3,0,0,0,1.0,,1.0,,False,,,,False,,,,,False,63.7,35.165906,140.144858,node/3005,https://www.openstreetmap.org/node/3005,https://maps.gsi.go.jp/#17/35.165906/140.144858/,https://www.google.com/maps/search/?api=1&query=35.165906%2C140.144858,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.165906%2C140.144858,https://www.google.com/maps/dir/?api=1&destination=35.165906%2C140.144858&travelmode=driving
5,合成第7山社,97.33,97.33,0.0675,485.1,0,0,1,1.0,,1.0,,True,15.0,164.8,36.3,False,120,201,,,False,65.8,35.16579,140.191358,node/3006,https://www.openstreetmap.org/node/3006,https://maps.gsi.go.jp/#17/35.165790/140.191358/,https://www.google.com/maps/search/?api=1&query=35.165790%2C140.191358,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.165790%2C140.191358,https://www.google.com/maps/dir/?api=1&destination=35.165790%2C140.191358&travelmode=driving
6,合成第9山社,96.6,96.6,0.0865,440.6,0,0,1,1.0,,1.0,,False,,,,False,,,,,False,61.4,35.21453,140.19439,node/3008,https://www.openstreetmap.org/node/3008,https://maps.gsi.go.jp/#17/35.214530/140.194390/,https://www.google.com/maps/search/?api=1&query=35.214530%2C140.194390,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.214530%2C140.194390,https://www.google.com/maps/dir/?api=1&destination=35.214530%2C140.194390&travelmode=driving
7,合成第2山社,96.54,96.54,0.088,437.4,0,0,1,1.0,,1.0,,False,,,,False,,,,,False,63.9,35.166226,140.148757,node/3001,https://www.openstreetmap.org/node/3001,https://maps.gsi.go.jp/#17/35.166226/140.148757/,https://www.google.com/maps/search/?api=1&query=35.166226%2C140.148757,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.166226%2C140.148757,https://www.google.com/maps/dir/?api=1&destination=35.166226%2C140.148757&travelmode=driving
8,合成第4山社,95.77,95.77,0.108,400.6,0,0,1,1.0,,1.0,,True,15.0,164.8,36.3,False,121,201,,,False,55.6,35.27108,140.182392,node/3003,https://www.openstreetmap.org/node/3003,https://maps.gsi.go.jp/#17/35.271080/140.182392/,https://www.google.com/maps/search/?api=1&query=35.271080%2C140.182392,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.271080%2C140.182392,https://www.google.com/maps/dir/?api=1&destination=35.271080%2C140.182392&travelmode=driving
9,合成第8山社,95.41,95.41,0.1174,385.6,0,0,1,1.0,,1.0,,False,,,,False,,,,,False,61.4,35.210918,140.188774,node/3007,https://www.openstreetmap.org/node/3007,https://maps.gsi.go.jp/#17/35.210918/140.188774/,https://www.google.com/maps/search/?api=1&query=35.210918%2C140.188774,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.210918%2C140.188774,https://www.google.com/maps/dir/?api=1&destination=35.210918%2C140.188774&travelmode=driving
10,合成第8辺社,67.55,67.55,0.9807,269.1,0,0,7,1.0,,1.0,,False,,,,False,,,,,False,57.5,35.231864,140.14816,node/2007,https://www.openstreetmap.org/node/2007,https://maps.gsi.go.jp/#17/35.231864/140.148160/,https://www.google.com/maps/search/?api=1&query=35.231864%2C140.148160,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.231864%2C140.148160,https://www.google.com/maps/dir/?api=1&destination=35.231864%2C140.148160&travelmode=driving
11,合成大社,62.91,96.76,0.0823,449.5,0,0,1,1.0,,0.6502,wikipedia;wikidata;tourism,False,,,,False,,,,,False,49.8,35.253899,140.012054,node/4000,https://www.openstreetmap.org/node/4000,https://maps.gsi.go.jp/#17/35.253899/140.012054/,https://www.google.com/maps/search/?api=1&query=35.253899%2C140.012054,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.253899%2C140.012054,https://www.google.com/maps/dir/?api=1&destination=35.253899%2C140.012054&travelmode=driving
12,合成第3辺社,54.95,54.95,1.4967,208.0,0,0,7,1.0,,1.0,,False,,,,False,,,,,False,53.7,35.23574,140.069682,node/2002,https://www.openstreetmap.org/node/2002,https://maps.gsi.go.jp/#17/35.235740/140.069682/,https://www.google.com/maps/search/?api=1&query=35.235740%2C140.069682,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.235740%2C140.069682,https://www.google.com/maps/dir/?api=1&destination=35.235740%2C140.069682&travelmode=driving
13,合成第7辺社,54.83,54.83,1.5023,250.7,0,0,10,1.0,,1.0,,False,,,,False,,,,,False,59.5,35.184784,140.085076,node/2006,https://www.openstreetmap.org/node/2006,https://maps.gsi.go.jp/#17/35.184784/140.085076/,https://www.google.com/maps/search/?api=1&query=35.184784%2C140.085076,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.184784%2C140.085076,https://www.google.com/maps/dir/?api=1&destination=35.184784%2C140.085076&travelmode=driving
14,合成第6辺社,51.53,51.53,1.6573,212.8,0,0,8,1.0,,1.0,,False,,,,False,,,,,False,60.0,35.166904,140.04609,node/2005,https://www.openstreetmap.org/node/2005,https://maps.gsi.go.jp/#17/35.166904/140.046090/,https://www.google.com/maps/search/?api=1&query=35.166904%2C140.046090,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.166904%2C140.046090,https://www.google.com/maps/dir/?api=1&destination=35.166904%2C140.046090&travelmode=driving
15,合成第5辺社,51.47,51.47,1.6605,280.3,0,0,11,1.0,,1.0,,False,,,,False,,,,,False,58.3,35.228671,140.159727,node/2004,https://www.openstreetmap.org/node/2004,https://maps.gsi.go.jp/#17/35.228671/140.159727/,https://www.google.com/maps/search/?api=1&query=35.228671%2C140.159727,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.228671%2C140.159727,https://www.google.com/maps/dir/?api=1&destination=35.228671%2C140.159727&travelmode=driving
16,合成日照神社,50.0,100.0,0,,0,0,0,0.5,solar@112m,1.0,,False,,,,False,,,,,False,62.8,35.137118,140.03404,node/5000,https://www.openstreetmap.org/node/5000,https://maps.gsi.go.jp/#17/35.137118/140.034040/,https://www.google.com/maps/search/?api=1&query=35.137118%2C140.034040,https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.137118%2C140.034040,https://www.google.com/maps/dir/?api=1&destination=35.137118%2C140.034040&travelmode=driving
