file,category,area,duration,month,coef_pct
2024_chouseikeisu,変動_太陽光,北海道,年間,年間,3.9
2024_chouseikeisu,変動_太陽光,東北,年間,年間,11.8
2024_chouseikeisu,変動_太陽光,東京,年間,年間,10.1
2024_chouseikeisu,変動_太陽光,中部,年間,年間,12.7
2024_chouseikeisu,変動_太陽光,北陸,年間,年間,16.4
2024_chouseikeisu,変動_太陽光,関西,年間,年間,13.1
2024_chouseikeisu,変動_太陽光,中国,年間,年間,13.5
2024_chouseikeisu,変動_太陽光,四国,年間,年間,15.8
2024_chouseikeisu,変動_太陽光,九州,年間,年間,6.6
2024_chouseikeisu,変動_風力,北海道,年間,年間,23.6
2024_chouseikeisu,変動_風力,東北,年間,年間,33.8
2024_chouseikeisu,変動_風力,東京,年間,年間,25.3
2024_chouseikeisu,変動_風力,中部,年間,年間,28.3
2024_chouseikeisu,変動_風力,北陸,年間,年間,20.9
2024_chouseikeisu,変動_風力,関西,年間,年間,27.5
2024_chouseikeisu,変動_風力,中国,年間,年間,20.2
2024_chouseikeisu,変動_風力,四国,年間,年間,35.6
2024_chouseikeisu,変動_風力,九州,年間,年間,19.2
2024_chouseikeisu,変動_一般水力（自流式）,北海道,年間,年間,47.2
2024_chouseikeisu,変動_一般水力（自流式）,東北,年間,年間,55.8
2024_chouseikeisu,変動_一般水力（自流式）,東京,年間,年間,58.9
2024_chouseikeisu,変動_一般水力（自流式）,中部,年間,年間,48.7
2024_chouseikeisu,変動_一般水力（自流式）,北陸,年間,年間,58.1
2024_chouseikeisu,変動_一般水力（自流式）,関西,年間,年間,52.3
2024_chouseikeisu,変動_一般水力（自流式）,中国,年間,年間,42.1
2024_chouseikeisu,変動_一般水力（自流式）,四国,年間,年間,49.8
2024_chouseikeisu,変動_一般水力（自流式）,九州,年間,年間,37.7
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,4月,89.9
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,2月,96.6
2024_chouseikeisu,純揚水・蓄電池,北海道,20h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,4月,89.9
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,2月,96.6
2024_chouseikeisu,純揚水・蓄電池,北海道,19h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,4月,89.9
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,2月,96.6
2024_chouseikeisu,純揚水・蓄電池,北海道,18h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,4月,89.9
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,2月,96.6
2024_chouseikeisu,純揚水・蓄電池,北海道,17h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,4月,89.9
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,2月,96.6
2024_chouseikeisu,純揚水・蓄電池,北海道,16h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,4月,89.9
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,2月,96.6
2024_chouseikeisu,純揚水・蓄電池,北海道,15h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,4月,89.9
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,2月,96.6
2024_chouseikeisu,純揚水・蓄電池,北海道,14h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,4月,89.6
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,2月,96.4
2024_chouseikeisu,純揚水・蓄電池,北海道,13h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,4月,89.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,11月,92.2
