date,koma,sell_kwh,buy_kwh,volume_kwh,p_system,p_hokkaido,p_tohoku,p_kyushu,ts,fy
2016-04-01,1,5077000,2120500,675500,6.61,8.66,6.69,4.0,2016-04-01 00:00:00,2016
2016-04-01,2,5621500,2239000,755500,6.34,8.66,6.34,4.0,2016-04-01 00:30:00,2016
2016-04-01,3,5710500,2219000,713500,6.34,7.2,6.34,4.0,2016-04-01 01:00:00,2016
2016-04-01,4,5536000,2202500,717500,6.25,7.1,6.03,4.0,2016-04-01 01:30:00,2016
2016-04-01,5,5461000,2192000,870500,6.57,7.1,6.57,5.28,2016-04-01 02:00:00,2016
2016-04-01,6,5456500,2183000,800500,6.57,7.1,6.57,5.28,2016-04-01 02:30:00,2016
2016-04-01,7,5445000,2203500,808500,6.57,7.1,6.57,5.87,2016-04-01 03:00:00,2016
2016-04-01,8,5448500,2276500,816000,6.57,7.1,6.57,6.57,2016-04-01 03:30:00,2016
2016-04-01,9,5615000,2307000,814500,6.57,7.11,6.57,6.57,2016-04-01 04:00:00,2016
2016-04-01,10,5722000,2238500,803000,6.57,7.19,6.57,6.57,2016-04-01 04:30:00,2016
2016-04-01,11,5251000,2264500,784000,6.57,8.66,6.57,6.57,2016-04-01 05:00:00,2016
2016-04-01,12,5224000,2288000,759500,6.69,8.66,6.57,6.57,2016-04-01 05:30:00,2016
2016-04-01,13,5320000,2320500,797000,6.69,6.69,6.69,5.87,2016-04-01 06:00:00,2016
2016-04-01,14,5299500,2322500,744500,6.69,6.69,6.69,5.87,2016-04-01 06:30:00,2016
2016-04-01,15,5285500,2371000,1027000,6.99,6.99,6.99,5.87,2016-04-01 07:00:00,2016
2016-04-01,16,5392500,2519000,1150000,6.99,6.99,6.99,5.88,2016-04-01 07:30:00,2016
2016-04-01,17,6281500,2705000,1034500,7.59,7.59,7.59,6.12,2016-04-01 08:00:00,2016
2016-04-01,18,6087000,3010000,990500,8.25,7.93,7.93,7.93,2016-04-01 08:30:00,2016
2016-04-01,19,6244500,3188500,1015000,8.83,9.64,9.64,8.25,2016-04-01 09:00:00,2016
2016-04-01,20,6225500,3229000,1014000,8.94,9.69,9.69,8.25,2016-04-01 09:30:00,2016
2016-04-01,21,6020500,3382500,1028500,8.83,9.69,9.69,7.02,2016-04-01 10:00:00,2016
2016-04-01,22,6097500,3381000,1031500,8.46,9.69,9.69,7.02,2016-04-01 10:30:00,2016
2016-04-01,23,6425000,3362000,1035500,8.25,9.69,9.69,7.02,2016-04-01 11:00:00,2016
2016-04-01,24,6393500,3155000,1058500,7.93,9.69,9.69,7.02,2016-04-01 11:30:00,2016
2016-04-01,25,7923000,2824000,1065500,6.34,7.05,7.05,4.04,2016-04-01 12:00:00,2016
2016-04-01,26,7937500,2823500,1083500,6.34,6.51,6.51,4.0,2016-04-01 12:30:00,2016
2016-04-01,27,6241000,3117500,1065500,7.93,9.69,9.69,6.53,2016-04-01 13:00:00,2016
2016-04-01,28,6442500,3336500,1026500,7.81,9.69,9.69,6.53,2016-04-01 13:30:00,2016
2016-04-01,29,5789000,3360500,954000,7.93,9.69,9.69,6.53,2016-04-01 14:00:00,2016
2016-04-01,30,5740500,3373500,993500,7.93,9.69,9.69,6.53,2016-04-01 14:30:00,2016
2016-04-01,31,5386500,3348000,1041000,7.59,9.69,9.69,6.12,2016-04-01 15:00:00,2016
2016-04-01,32,5429500,3394000,1036500,7.67,10.26,10.26,6.53,2016-04-01 15:30:00,2016
2016-04-01,33,4682000,3425000,1017500,7.93,10.5,10.5,6.53,2016-04-01 16:00:00,2016
2016-04-01,34,4312500,3391000,1026500,8.25,10.5,10.5,6.53,2016-04-01 16:30:00,2016
2016-04-01,35,3139500,3128500,944000,8.84,20.0,10.4,6.12,2016-04-01 17:00:00,2016
2016-04-01,36,3139500,3082500,956000,8.83,20.0,10.03,6.12,2016-04-01 17:30:00,2016
2016-04-01,37,2689500,3015000,923000,8.66,20.0,9.69,6.12,2016-04-01 18:00:00,2016
2016-04-01,38,2923000,2962000,948500,8.23,20.0,9.69,6.12,2016-04-01 18:30:00,2016
2016-04-01,39,2748000,2997500,1064500,7.93,20.0,9.66,7.37,2016-04-01 19:00:00,2016
2016-04-01,40,2796500,2833500,1027500,7.8,20.0,9.36,5.28,2016-04-01 19:30:00,2016
2016-04-01,41,3494000,2769000,1215000,7.59,14.26,7.59,5.28,2016-04-01 20:00:00,2016
2016-04-01,42,3526500,2669000,1243000,7.1,10.79,7.59,5.28,2016-04-01 20:30:00,2016
2016-04-01,43,3777500,2726000,1216000,7.37,10.67,7.37,7.37,2016-04-01 21:00:00,2016
2016-04-01,44,3843000,2801000,1265500,7.37,7.37,7.37,7.37,2016-04-01 21:30:00,2016
