泊,K_wind倍率,K_wind(万kW),床時間(h/年),TB4h中央値(円/kWh),PF価値(円/kW-年)
なし,0.5,61.0,62.0,8.23,8528.0
なし,0.75,91.0,90.0,8.2,8574.0
なし,1.0,121.0,117.0,8.17,8593.0
なし,1.25,151.0,152.0,8.11,8663.0
なし,1.5,182.0,197.0,8.05,8792.0
なし,1.75,212.0,253.0,8.24,9000.0
なし,2.0,242.0,324.0,8.22,9198.0
なし,2.5,303.0,515.0,8.64,9824.0
なし,3.0,363.0,807.0,9.31,10554.0
あり,0.5,61.0,526.0,8.01,9271.0
あり,0.75,91.0,612.0,8.18,9488.0
あり,1.0,121.0,704.0,8.49,9777.0
あり,1.25,151.0,815.0,8.95,10053.0
あり,1.5,182.0,972.0,9.29,10459.0
あり,1.75,212.0,1179.0,9.58,10901.0
あり,2.0,242.0,1408.0,9.8,11271.0
あり,2.5,303.0,1881.0,10.18,12009.0
あり,3.0,363.0,2247.0,10.65,12615.0
