day,pf,naive,forecast,fy
2016-04-01,7991.750000000004,,,2016
2016-04-02,0.0,-3674.9999999999964,,2016
2016-04-03,5255.0,-5265.25,,2016
2016-04-04,18447.75,-11683.5,,2016
2016-04-05,5959.499999999996,1239.5,,2016
2016-04-06,1963.9999999999964,638.5,,2016
2016-04-07,12721.0,3966.75,,2016
2016-04-08,4325.0,-5230.0,,2016
2016-04-09,4695.000000000004,4125.75,,2016
2016-04-10,2756.9999999999964,2348.25,,2016
2016-04-11,6196.0,1722.5,,2016
2016-04-12,4853.0,3490.9999999999964,,2016
2016-04-13,5271.75,-703.2499999999964,,2016
2016-04-14,3101.5,-1097.75,,2016
2016-04-15,4349.999999999996,1958.2499999999964,,2016
2016-04-16,6987.0,1733.2499999999964,,2016
2016-04-17,3705.0,2874.9999999999964,,2016
2016-04-18,9088.5,189.25000000000364,,2016
2016-04-19,4829.749999999996,-2671.7499999999964,,2016
2016-04-20,3364.5,2249.4999999999964,,2016
2016-04-21,8317.499999999996,4761.749999999996,,2016
2016-04-22,3164.4999999999964,-394.75,,2016
2016-04-23,5128.25,2842.7500000000036,,2016
2016-04-24,3537.5,1364.75,,2016
2016-04-25,7376.25,-189.75000000000728,,2016
2016-04-26,4635.249999999996,3165.2499999999964,,2016
2016-04-27,17474.0,1043.5000000000073,,2016
2016-04-28,9063.500000000004,7712.0,,2016
2016-04-29,6263.0,-4222.999999999996,,2016
2016-04-30,4019.0,2403.75,,2016
2016-05-01,6906.749999999996,5589.499999999996,6433.75,2016
2016-05-02,11261.499999999993,8137.75,10411.5,2016
2016-05-03,10346.250000000002,4480.000000000002,-2935.0000000000036,2016
2016-05-04,4240.0,-105.99999999999636,4240.0,2016
2016-05-05,5521.249999999996,4023.75,5511.25,2016
2016-05-06,17866.0,-6998.249999999993,-8358.249999999993,2016
2016-05-07,5359.500000000004,-2424.2499999999927,2172.5,2016
2016-05-08,4543.0,2787.5,4543.0,2016
2016-05-09,19674.5,-3438.5,-11536.0,2016
