round,no,company,project,type,kw,pref
1,1,オリックス株式会社,米原市湖東蓄電所（仮称）,蓄電池,96208,滋賀県
1,2,テス・エンジニアリング株式会社,静岡菊川蓄電所,蓄電池,22077,静岡県
1,7,CHCJapan株式会社,青森県青森市野木山口蓄電所,蓄電池,27158,青森県
1,8,CHCJapan株式会社,岡山美作蓄電所,蓄電池,22719,岡山県
1,9,CHCJapan株式会社,北海道札幌市西区宮の沢蓄電所,蓄電池,28060,北海道
1,10,CHCJapan株式会社,留辺蘂蓄電所,蓄電池,25250,北海道
1,14,株式会社レノバ,苫小牧蓄電所,蓄電池,70213,北海道
1,15,株式会社レノバ,白老蓄電所,蓄電池,39027,北海道
1,16,株式会社レノバ,森町睦実２蓄電所,蓄電池,56351,北海道
1,19,ヘキサ・エネルギーサービス合同会社,伊賀市川西蓄電システム,蓄電池,22531,三重県
1,20,ヘキサ・エネルギーサービス合同会社,恵庭市西島松蓄電システム,蓄電池,23217,北海道
1,21,ヘキサ・エネルギーサービス合同会社,小矢部市石名田蓄電システム,蓄電池,39983,富山県
1,22,ヘキサ・エネルギーサービス合同会社,熊本市北区弓削蓄電システム,蓄電池,29615,熊本県
1,23,ヘキサ・エネルギーサービス合同会社,田川市大字伊加利②蓄電システム,蓄電池,22189,福岡県
1,24,ヘキサ・エネルギーサービス合同会社,白老郡白老町北吉原蓄電システム,蓄電池,23393,北海道
1,25,ヘキサ・エネルギーサービス合同会社,白老郡白老町字石山蓄電システム,蓄電池,39004,北海道
1,26,ヘキサ・エネルギーサービス合同会社,福知山市字荒河蓄電システム,蓄電池,36918,京都府
1,27,ヘキサ・エネルギーサービス合同会社,松阪市上川町蓄電システム,蓄電池,28568,不明
1,28,ヘキサ・エネルギーサービス合同会社,美唄市字美唄蓄電システム,蓄電池,39004,不明
1,29,ヘキサ・エネルギーサービス合同会社,由利本荘市乙助渕蓄電システム,蓄電池,37597,不明
1,30,のぞみエナジー株式会社,AEJ大分県臼杵蓄電所事業（仮）,蓄電池,37019,大分県
1,31,のぞみエナジー株式会社,AEJ福岡県直方蓄電所（仮）,蓄電池,37019,福岡県
1,33,合同会社バッテリーパーク1,三重多気蓄電所,蓄電池,36222,三重県
1,34,合同会社バッテリーパーク1,FUKO-B1蓄電池発電所,蓄電池,36814,不明
1,35,株式会社樋口組,福島メガソーラー西郷村第一蓄電所,蓄電池,16535,福島県
1,36,福島蓄電池事業1合同会社,福島メガソーラー西郷村第二蓄電所,蓄電池,16527,福島県
1,37,ティーダ・パワー１１０合同会社,ＣＳ青森今別蓄電所,蓄電池,32677,青森県
1,38,ティーダ・パワー１１０合同会社,ＣＳ福島石川２蓄電所,蓄電池,37997,福島県
1,39,ティーダ・パワー１１０合同会社,ＣＳ山口新美祢２蓄電所,蓄電池,74669,山口県
1,40,株式会社城洋商事,夕張郡長沼町蓄電システム,蓄電池,37515,不明
2,7,自然電力株式会社,Shizen-601系統用蓄電池プロジェクト,蓄電池（運転継続時間が6時間以上）,47226,不明
2,9,Bison energy株式会社,Battery No.22蓄電所,蓄電池（運転継続時間が6時間以上）,129797,不明
2,10,Bison energy株式会社,Battery No.31蓄電所,蓄電池（運転継続時間が3時間以上6時間未満）,37827,不明
2,11,Bison energy株式会社,Battery No.32蓄電所,蓄電池（運転継続時間が3時間以上6時間未満）,30129,不明
2,12,ＢＳホールディングス株式会社,BS浪江,蓄電池（運転継続時間が3時間以上6時間未満）,49905,不明
