ts,demand,nuclear,thermal,hydro,geothermal,biomass,solar,solar_curt,wind,wind_curt,pumped,interconn,battery,p_system,p_hokkaido,p_tohoku,fy
2016-04-01 00:00:00,7887.0,0.0,8072.0,1812.0,116.0,41.0,0.0,0.0,46.0,0.0,0.0,-2200.0,,6.475,8.66,6.515000000000001,2016
2016-04-01 01:00:00,8158.0,0.0,8299.0,1831.0,116.0,40.0,0.0,0.0,50.0,0.0,0.0,-2178.0,,6.295,7.15,6.1850000000000005,2016
2016-04-01 02:00:00,8420.0,0.0,8514.0,1876.0,115.0,38.0,0.0,0.0,48.0,0.0,0.0,-2171.0,,6.57,7.1,6.57,2016
2016-04-01 03:00:00,8584.0,0.0,8677.0,1882.0,117.0,38.0,0.0,0.0,47.0,0.0,0.0,-2177.0,,6.57,7.1,6.57,2016
2016-04-01 04:00:00,8806.0,0.0,8929.0,1864.0,112.0,38.0,0.0,0.0,43.0,0.0,0.0,-2180.0,,6.57,7.15,6.57,2016
2016-04-01 05:00:00,9107.0,0.0,9200.0,1864.0,116.0,39.0,4.0,0.0,36.0,0.0,0.0,-2152.0,,6.630000000000001,8.66,6.57,2016
2016-04-01 06:00:00,9025.0,0.0,8963.0,1886.0,114.0,39.0,193.0,0.0,41.0,0.0,0.0,-2211.0,,6.69,6.69,6.69,2016
2016-04-01 07:00:00,8649.0,0.0,8105.0,1796.0,116.0,38.0,735.0,0.0,50.0,0.0,-1.0,-2190.0,,6.99,6.99,6.99,2016
2016-04-01 08:00:00,9076.0,0.0,7896.0,1795.0,115.0,44.0,1246.0,0.0,53.0,0.0,-2.0,-2071.0,,7.92,7.76,7.76,2016
2016-04-01 09:00:00,9433.0,0.0,8061.0,1783.0,116.0,41.0,1525.0,0.0,82.0,0.0,-2.0,-2173.0,,8.885,9.665,9.665,2016
2016-04-01 10:00:00,9465.0,0.0,7864.0,1780.0,99.0,40.0,1778.0,0.0,146.0,0.0,-2.0,-2240.0,,8.645,9.69,9.69,2016
2016-04-01 11:00:00,9404.0,0.0,7731.0,1766.0,92.0,40.0,1858.0,0.0,208.0,0.0,-2.0,-2289.0,,8.09,9.69,9.69,2016
2016-04-01 12:00:00,8778.0,0.0,7160.0,1730.0,94.0,45.0,1676.0,0.0,241.0,0.0,-2.0,-2166.0,,6.34,6.779999999999999,6.779999999999999,2016
2016-04-01 13:00:00,8966.0,0.0,7866.0,1731.0,92.0,41.0,1257.0,0.0,239.0,0.0,-2.0,-2258.0,,7.869999999999999,9.69,9.69,2016
2016-04-01 14:00:00,9007.0,0.0,8151.0,1785.0,91.0,41.0,897.0,0.0,272.0,0.0,-2.0,-2228.0,,7.93,9.69,9.69,2016
2016-04-01 15:00:00,8977.0,0.0,8389.0,1770.0,92.0,40.0,586.0,0.0,301.0,0.0,-2.0,-2199.0,,7.63,9.975,9.975,2016
2016-04-01 16:00:00,9125.0,0.0,8704.0,1830.0,90.0,40.0,233.0,0.0,347.0,0.0,-2.0,-2117.0,,8.09,10.5,10.5,2016
2016-04-01 17:00:00,9201.0,0.0,8789.0,1978.0,90.0,38.0,22.0,0.0,377.0,0.0,-2.0,-2091.0,,8.835,20.0,10.215,2016
2016-04-01 18:00:00,9599.0,0.0,9100.0,2017.0,100.0,39.0,0.0,0.0,423.0,0.0,-2.0,-2078.0,,8.445,20.0,9.69,2016
2016-04-01 19:00:00,9348.0,0.0,8809.0,1979.0,113.0,38.0,0.0,0.0,458.0,0.0,-1.0,-2048.0,,7.865,20.0,9.51,2016
2016-04-01 20:00:00,8893.0,0.0,8422.0,1914.0,116.0,42.0,0.0,0.0,484.0,0.0,0.0,-2085.0,,7.345,12.524999999999999,7.59,2016
2016-04-01 21:00:00,8443.0,0.0,8207.0,1824.0,115.0,41.0,0.0,0.0,468.0,0.0,0.0,-2212.0,,7.37,9.02,7.37,2016
2016-04-01 22:00:00,8235.0,0.0,8109.0,1799.0,115.0,39.0,0.0,0.0,441.0,0.0,0.0,-2268.0,,7.17,16.13,7.050000000000001,2016
2016-04-01 23:00:00,8151.0,0.0,8031.0,1769.0,111.0,37.0,0.0,0.0,412.0,0.0,1.0,-2210.0,,7.015000000000001,8.66,6.99,2016
2016-04-02 00:00:00,7845.0,0.0,7819.0,1652.0,117.0,41.0,0.0,0.0,394.0,0.0,0.0,-2178.0,,7.14,8.66,7.140000000000001,2016
2016-04-02 01:00:00,8073.0,0.0,7961.0,1661.0,114.0,43.0,0.0,0.0,395.0,0.0,0.0,-2101.0,,6.78,8.66,5.975,2016
2016-04-02 02:00:00,8315.0,0.0,8106.0,1728.0,117.0,45.0,0.0,0.0,388.0,0.0,0.0,-2069.0,,6.75,8.64,5.87,2016
2016-04-02 03:00:00,8449.0,0.0,8183.0,1780.0,116.0,44.0,0.0,0.0,380.0,0.0,0.0,-2054.0,,6.725,8.62,5.95,2016
2016-04-02 04:00:00,8660.0,0.0,8382.0,1796.0,113.0,45.0,0.0,0.0,372.0,0.0,0.0,-2048.0,,6.695,8.66,5.87,2016
2016-04-02 05:00:00,8806.0,0.0,8551.0,1784.0,114.0,45.0,0.0,0.0,351.0,0.0,-1.0,-2038.0,,6.695,8.66,5.845000000000001,2016
2016-04-02 06:00:00,8533.0,0.0,8231.0,1794.0,116.0,43.0,108.0,0.0,352.0,0.0,-2.0,-2109.0,,6.58,8.49,6.465,2016
2016-04-02 07:00:00,8352.0,0.0,7802.0,1730.0,117.0,42.0,372.0,0.0,371.0,0.0,-2.0,-2080.0,,6.58,7.619999999999999,6.285,2016
2016-04-02 08:00:00,9050.0,0.0,8000.0,1786.0,115.0,43.0,739.0,0.0,363.0,0.0,-2.0,-1994.0,,6.45,7.665,6.13,2016
2016-04-02 09:00:00,9535.0,0.0,8111.0,1783.0,114.0,41.0,1113.0,0.0,368.0,0.0,-2.0,-1993.0,,7.02,7.605,7.36,2016
2016-04-02 10:00:00,9517.0,0.0,7865.0,1802.0,113.0,40.0,1307.0,0.0,364.0,0.0,-2.0,-1972.0,,6.68,7.5600000000000005,6.68,2016
2016-04-02 11:00:00,9695.0,0.0,7830.0,1804.0,116.0,39.0,1553.0,0.0,373.0,0.0,-1.0,-2019.0,,6.72,7.555,6.68,2016
2016-04-02 12:00:00,9181.0,0.0,7583.0,1676.0,114.0,39.0,1401.0,0.0,393.0,0.0,-2.0,-2023.0,,6.29,6.79,6.140000000000001,2016
2016-04-02 13:00:00,9181.0,0.0,7627.0,1731.0,114.0,38.0,1276.0,0.0,407.0,0.0,-2.0,-2010.0,,6.715,7.59,6.715,2016
2016-04-02 14:00:00,9010.0,0.0,7702.0,1758.0,115.0,40.0,968.0,0.0,412.0,0.0,-2.0,-1983.0,,6.71,13.83,6.71,2016
2016-04-02 15:00:00,8885.0,0.0,7760.0,1828.0,114.0,40.0,694.0,0.0,437.0,0.0,-2.0,-1986.0,,6.68,14.525,6.68,2016
2016-04-02 16:00:00,9018.0,0.0,8225.0,1898.0,111.0,40.0,386.0,0.0,453.0,0.0,-2.0,-2093.0,,7.125,9.32,7.23,2016
2016-04-02 17:00:00,9176.0,0.0,8597.0,2010.0,115.0,42.0,91.0,0.0,458.0,0.0,-2.0,-2135.0,,7.495,20.0,7.49,2016
2016-04-02 18:00:00,9575.0,0.0,8825.0,2072.0,115.0,47.0,0.0,0.0,449.0,0.0,-1.0,-1932.0,,7.71,10.36,7.6899999999999995,2016
2016-04-02 19:00:00,9424.0,0.0,8767.0,2024.0,115.0,46.0,0.0,0.0,426.0,0.0,0.0,-1954.0,,7.71,10.36,7.71,2016
2016-04-02 20:00:00,9073.0,0.0,8532.0,1981.0,114.0,47.0,0.0,0.0,419.0,0.0,0.0,-2020.0,,7.3,12.975,6.93,2016
2016-04-02 21:00:00,8553.0,0.0,8144.0,1852.0,113.0,46.0,0.0,0.0,413.0,0.0,0.0,-2015.0,,6.3149999999999995,10.79,6.23,2016
2016-04-02 22:00:00,7960.0,0.0,7759.0,1799.0,113.0,44.0,0.0,0.0,398.0,0.0,0.0,-2153.0,,7.49,9.13,7.49,2016
2016-04-02 23:00:00,7826.0,0.0,7543.0,1787.0,115.0,44.0,0.0,0.0,383.0,0.0,0.0,-2046.0,,7.17,8.66,7.155,2016
2016-04-03 00:00:00,7472.0,0.0,7286.0,1744.0,114.0,44.0,0.0,0.0,382.0,0.0,0.0,-2098.0,,6.6,8.66,6.67,2016
2016-04-03 01:00:00,7638.0,0.0,7511.0,1731.0,114.0,45.0,0.0,0.0,343.0,0.0,0.0,-2106.0,,6.445,7.869999999999999,6.445,2016
