単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/09/01,00:00,2582,0,221,749,46,234,701,17,241,0,0,646,0,20,0,-293,0,2582
2024/09/01,00:30,2478,0,148,756,46,234,701,17,241,0,0,607,0,19,-1,-290,0,2478
2024/09/01,01:00,2450,0,143,755,45,234,701,17,241,0,0,581,0,19,-1,-285,0,2450
2024/09/01,01:30,2394,0,104,765,46,234,701,17,242,0,0,543,0,20,-1,-277,0,2394
2024/09/01,02:00,2431,0,181,744,45,233,699,17,242,0,0,544,0,23,0,-297,0,2431
2024/09/01,02:30,2515,0,308,605,46,233,712,17,242,0,0,554,0,91,-1,-292,0,2515
2024/09/01,03:00,2585,0,335,606,45,234,710,17,242,0,0,528,0,169,-2,-299,0,2585
2024/09/01,03:30,2627,0,319,608,46,232,709,17,241,0,0,527,0,248,-10,-310,0,2627
2024/09/01,04:00,2678,0,319,589,46,234,753,17,241,0,0,523,0,278,-5,-317,0,2678
2024/09/01,04:30,2652,0,259,588,46,233,762,17,242,0,0,530,0,297,-3,-319,0,2652
2024/09/01,05:00,2578,0,281,582,47,234,762,17,241,18,0,483,0,200,-1,-286,0,2578
2024/09/01,05:30,2524,0,298,532,46,218,745,17,240,118,0,471,0,144,-1,-304,0,2524
2024/09/01,06:00,2539,0,277,473,47,187,727,17,236,359,0,445,0,87,-5,-311,0,2539
2024/09/01,06:30,2569,0,264,364,44,180,666,17,227,681,0,408,0,25,-4,-303,0,2569
2024/09/01,07:00,2643,0,269,394,13,179,662,17,217,964,0,388,0,-154,-3,-303,0,2643
2024/09/01,07:30,2717,0,275,315,11,164,663,17,210,1180,0,405,0,-220,-4,-299,0,2717
2024/09/01,08:00,2809,0,296,291,12,132,664,17,190,1399,0,444,0,-300,-8,-328,0,2809
2024/09/01,08:30,2917,0,226,293,12,113,664,17,174,1594,0,460,0,-301,-7,-328,0,2917
2024/09/01,09:00,3045,0,117,364,12,112,664,17,173,1763,0,464,0,-295,-3,-343,0,3045
2024/09/01,09:30,3123,0,83,381,11,113,664,17,172,1853,0,459,0,-289,-3,-338,0,3123
2024/09/01,10:00,3219,0,129,385,11,113,652,17,168,1928,0,478,0,-300,-3,-359,0,3219
2024/09/01,10:30,3235,0,144,356,11,112,638,17,166,1961,0,485,0,-301,-3,-351,0,3235
2024/09/01,11:00,3252,0,149,383,12,113,637,17,167,1969,0,454,0,-290,-2,-357,0,3252
2024/09/01,11:30,3298,0,192,443,12,113,632,17,168,1949,0,438,0,-301,-3,-362,0,3298
2024/09/01,12:00,3291,0,215,444,12,113,623,17,168,1925,0,439,0,-299,-6,-360,0,3291
2024/09/01,12:30,3233,0,234,444,12,112,618,17,169,1858,0,443,0,-301,-4,-369,0,3233
2024/09/01,13:00,3234,0,245,468,12,131,619,17,181,1767,0,439,0,-276,-4,-365,0,3234
2024/09/01,13:30,3194,0,165,510,11,162,618,17,207,1630,0,456,0,-209,-4,-369,0,3194
2024/09/01,14:00,3140,0,209,512,32,175,628,17,222,1449,0,453,0,-205,-6,-346,0,3140
2024/09/01,14:30,3116,0,335,509,53,191,627,17,230,1249,0,459,0,-208,-7,-339,0,3116
2024/09/01,15:00,3142,0,394,512,47,221,664,17,231,1017,0,458,0,-86,-5,-328,0,3142
