,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2024/1/1 0:00,7918,2994,4498,159,158,593,0,0,158,0,152,-794
2024/1/1 1:00,7796,2994,4450,156,158,592,0,0,149,0,137,-840
2024/1/1 2:00,8129,2995,4670,153,158,590,0,0,127,0,226,-790
2024/1/1 3:00,8489,2994,4947,230,158,594,0,0,116,0,322,-872
2024/1/1 4:00,8643,2994,5135,336,158,591,0,0,118,0,287,-976
2024/1/1 5:00,8431,2993,4929,275,158,587,0,0,112,0,229,-852
2024/1/1 6:00,7953,2994,4285,204,158,587,0,0,95,0,348,-718
2024/1/1 7:00,7998,2997,4127,256,158,590,91,0,73,0,684,-978
2024/1/1 8:00,8096,2992,3491,228,158,581,1217,0,58,0,615,-1244
2024/1/1 9:00,7638,2992,2650,174,158,519,3040,0,43,0,-452,-1486
2024/1/1 10:00,7445,2994,2197,160,158,501,4669,0,52,0,-1220,-2066
2024/1/1 11:00,7590,2994,2306,161,158,505,4900,396,58,0,-1518,-1974
2024/1/1 12:00,7411,2993,2107,158,158,504,5060,539,60,0,-1637,-1992
2024/1/1 13:00,7170,2992,2079,154,158,502,5100,236,42,0,-1919,-1938
2024/1/1 14:00,6945,2995,2126,156,158,503,4446,0,33,0,-1570,-1902
2024/1/1 15:00,7051,2995,2697,157,158,518,2837,0,26,0,-443,-1894
2024/1/1 16:00,7430,2995,3781,200,158,583,891,0,25,0,57,-1260
2024/1/1 17:00,8364,2994,5351,517,158,586,32,0,33,0,265,-1572
2024/1/1 18:00,8852,2991,5821,439,158,588,0,0,37,0,292,-1474
2024/1/1 19:00,8896,2989,6088,283,158,591,0,0,30,0,465,-1708
2024/1/1 20:00,8923,2993,6115,197,158,590,0,0,15,0,475,-1620
2024/1/1 21:00,8769,2994,5921,161,158,588,0,0,13,0,352,-1418
2024/1/1 22:00,8546,2993,5790,153,158,592,0,0,8,0,370,-1518
2024/1/1 23:00,8315,2994,5361,148,158,591,0,0,4,0,255,-1196
2024/1/2 0:00,7917,2992,5027,150,158,594,0,0,0,0,72,-1076
2024/1/2 1:00,7896,2993,5026,150,158,590,0,0,0,0,-29,-992
2024/1/2 2:00,8272,2994,5591,147,158,592,0,0,0,0,202,-1412
