単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/12/1,0:30,7526,3230,974,3270,76,260,204,152,646,0,0,154,0,-574,14,1076,196,7526
2025/12/1,1:00,7304,3222,770,3222,72,272,198,152,622,0,0,148,0,-588,-6,976,196,7304
2025/12/1,1:30,7304,3232,752,3224,72,268,200,152,642,0,0,158,0,-806,2,788,196,7304
2025/12/1,2:00,7310,3232,730,3368,72,272,202,152,630,0,0,146,0,-868,-20,804,198,7310
2025/12/1,2:30,7550,3230,698,3596,72,260,202,152,638,0,0,156,0,-880,-6,764,196,7550
2025/12/1,3:00,7794,3230,842,3872,70,296,216,152,626,0,0,148,0,-602,6,1260,198,7794
2025/12/1,3:30,8222,3232,1028,3718,74,324,232,152,640,0,0,146,0,-538,14,996,196,8222
2025/12/1,4:00,8406,3228,1110,3622,76,378,234,152,620,0,0,142,0,-314,12,1052,198,8406
2025/12/1,4:30,8696,3230,1128,3804,78,352,308,154,640,0,0,142,0,-256,8,1088,196,8696
2025/12/1,5:00,8830,3230,1206,3802,76,378,334,152,616,0,0,124,0,-254,16,1048,198,8830
2025/12/1,5:30,8978,3230,1140,3810,82,346,366,154,642,0,0,108,0,28,8,1132,196,8978
2025/12/1,6:00,8946,3226,1038,3810,80,384,370,152,612,0,0,104,0,126,-6,1148,198,8946
2025/12/1,6:30,9170,3234,1280,3818,86,352,340,154,634,0,0,96,0,130,-32,1120,198,9170
2025/12/1,7:00,9316,3226,1296,3810,88,374,462,152,626,4,0,72,0,272,-36,1228,198,9316
2025/12/1,7:30,9426,3236,1310,3796,94,356,562,154,636,38,0,56,0,302,-40,1272,198,9426
2025/12/1,8:00,9312,3228,1258,3672,92,388,490,152,606,348,0,48,0,302,-36,1432,196,9312
