単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
20260401,0:30,7838,3662,298,3068,76,866,0,298,164,756,0,0,0,56,0,122,-16,1716,204,7838
20260401,1:00,7576,3658,274,2796,72,686,0,350,164,740,0,0,0,30,0,136,-14,1520,204,7576
20260401,1:30,7506,3660,274,2862,74,650,0,428,164,750,0,0,0,24,0,136,-16,1704,204,7506
20260401,2:00,7572,3662,270,2970,70,692,0,442,164,742,0,0,0,20,0,132,-16,1780,204,7572
20260401,2:30,7762,3664,292,3172,72,688,0,384,164,750,0,0,0,36,0,150,-6,1808,204,7762
20260401,3:00,7926,3662,304,3448,70,696,0,322,164,740,0,0,0,52,0,128,0,1864,204,7926
20260401,3:30,8302,3660,278,3820,74,716,0,306,166,754,0,0,0,64,0,134,10,1884,204,8302
20260401,4:00,8510,3664,374,3920,74,804,0,300,162,742,0,0,0,64,0,136,2,1944,212,8510
20260401,4:30,8736,3658,412,4130,76,778,0,330,164,750,0,0,0,64,0,132,12,1984,214,8736
20260401,5:00,8894,3660,484,4136,76,884,0,346,164,740,0,0,0,56,0,128,12,2008,216,8894
20260401,5:30,8920,3652,544,4146,82,842,0,346,166,748,0,1,0,45,0,132,-2,1996,214,8920
20260401,6:00,8776,3656,586,4112,80,724,0,348,162,736,0,0,0,42,0,122,-12,1984,204,8776
20260401,6:30,8812,3660,618,3972,84,798,0,346,166,736,0,1,0,53,0,130,-22,1932,202,8812
20260401,7:00,8628,3658,644,3934,86,678,0,340,162,720,0,23,0,63,0,122,-16,1992,206,8628
20260401,7:30,8674,3664,722,3576,88,740,0,396,166,716,0,178,0,86,0,126,-20,1968,204,8674
20260401,8:00,8800,3664,786,3324,90,806,0,460,162,698,0,426,0,70,0,126,-14,2000,202,8800
20260401,8:30,9106,3666,774,3696,96,752,0,458,164,700,0,643,0,63,0,144,-16,2236,202,9106
20260401,9:00,9506,3658,868,3806,96,804,0,502,164,690,0,731,0,61,0,126,-18,2184,202,9506
20260401,9:30,9726,3664,1130,3210,98,1044,0,542,166,694,0,881,0,63,0,314,-20,2260,200,9726
20260401,10:00,9758,3660,988,3360,98,1054,0,612,162,692,0,1015,0,67,0,184,-6,2336,208,9758
20260401,10:30,9698,3666,888,3362,96,888,0,550,164,698,0,1187,0,71,0,184,22,2284,206,9698
20260401,11:00,9702,3662,902,3360,94,996,0,380,164,686,0,1355,0,59,0,184,22,2360,198,9702
20260401,11:30,9664,3670,874,3228,96,822,0,320,164,696,0,1728,0,52,0,190,18,2392,198,9664
20260401,12:00,9598,3674,858,3150,92,724,0,280,162,690,0,1816,0,46,0,180,4,2276,198,9598
20260401,12:30,9276,3682,874,2664,96,720,0,276,164,698,0,1928,0,44,0,164,0,2232,198,9276
