"単位[MW平均]","","","供給力"
"DATE","TIME","エリア需要","原子力","火力（ＬＮＧ）","火力（石炭）","火力（石油）","火力（その他）","水力","地熱","バイオマス","太陽光発電実績","太陽光出力制御量","風力発電実績","風力出力制御量","揚水","蓄電池","連系線","その他","合計"
"20260701","0:30","8598","2972","452","3138","90","328","1052","154","834","0","0","34","0","200","4","920","266","8604"
"20260701","1:00","8180","2972","418","2530","88","330","1056","152","836","0","0","26","0","142","-8","620","264","8186"
"20260701","1:30","8020","2970","408","2250","88","330","1056","152","834","0","0","36","0","150","-6","500","264","8032"
"20260701","2:00","7926","2970","274","2160","84","326","1066","152","834","0","0","22","0","64","-10","280","264","7926"
"20260701","2:30","7962","2972","364","2332","86","328","1068","152","832","0","0","34","0","0","2","468","266","7968"
"20260701","3:00","8070","2966","508","2594","84","326","1082","154","838","0","0","36","0","152","-4","924","264","8076"
"20260701","3:30","8218","2968","496","2710","84","328","1156","152","836","0","0","48","0","154","-4","968","264","8224"
"20260701","4:00","8376","2964","490","2744","84","328","1178","154","834","0","0","54","0","148","-6","856","266","8382"
"20260701","4:30","8630","2968","450","2864","86","306","1184","152","832","0","0","68","0","146","8","700","272","8636"
"20260701","5:00","8786","2960","400","2988","86","280","1184","154","832","0","0","76","0","134","0","576","274","8792"
"20260701","5:30","8958","2972","418","3064","90","278","1182","152","834","0","0","88","0","150","-8","520","268","8968"
"20260701","6:00","8902","2970","426","2804","90","286","1186","152","838","10","0","94","0","142","4","364","266","8904"
"20260701","6:30","8868","2970","490","2360","92","296","1182","152","832","72","0","128","0","170","-4","128","266","8878"
"20260701","7:00","8898","2972","528","2350","96","298","1176","154","836","178","0","156","0","-218","-6","-116","264","8900"
"20260701","7:30","9112","2970","902","2244","100","294","1174","152","834","378","0","186","0","-550","-14","-184","264","9118"
"20260701","8:00","9218","2970","1200","2750","104","302","1192","152","834","588","0","190","0","-662","-14","648","266","9224"
"20260701","8:30","9736","2970","1560","3072","114","346","1196","152","826","864","0","222","0","22","-6","1852","260","9746"
"20260701","9:00","10426","2972","1548","3370","116","342","1198","152","816","1080","0","242","0","180","-14","1832","258","10428"
"20260701","9:30","10908","2972","1464","3974","122","338","1130","152","820","1274","0","280","0","30","-16","1888","264","10916"
"20260701","10:00","11062","2970","1488","4138","120","334","1116","150","824","1416","0","336","0","0","-2","2088","264","11066"
"20260701","10:30","11126","2970","1420","4094","124","336","1086","152","822","1666","0","366","0","0","10","2168","260","11138"
"20260701","11:00","11308","2968","1484","4110","122","338","1064","152","816","1708","0","348","0","0","20","2080","260","11310"
"20260701","11:30","11366","2970","1536","4236","128","338","1058","152","822","1696","0","340","0","0","20","2176","258","11378"
"20260701","12:00","11356","2964","1402","4208","124","328","1056","150","824","1798","0","334","0","0","-2","2088","258","11356"
"20260701","12:30","10984","2962","1382","4142","126","314","1052","152","824","2022","0","354","0","0","-6","2592","258","10990"
"20260701","13:00","10880","2964","1334","4100","122","338","1056","154","818","2158","0","358","0","0","8","2784","260","10886"
"20260701","13:30","11140","2962","1294","4090","126","338","1058","154","818","2408","0","366","0","0","4","2728","258","11148"
"20260701","14:00","11226","2960","1416","4136","124","334","1058","152","822","2272","0","346","0","86","0","2736","260","11230"
"20260701","14:30","11258","2960","1428","4140","126","336","1070","154","820","2160","0","362","0","134","6","2688","258","11266"
"20260701","15:00","11268","2964","1696","4270","118","338","1068","150","818","1770","0","310","0","186","-2","2672","258","11272"
"20260701","15:30","11204","2964","1810","4280","128","336","1062","154","820","1360","0","318","0","396","4","2680","262","11214"
"20260701","16:00","11238","2962","1890","4288","126","336","1056","150","816","1186","0","340","0","452","-8","2616","260","11238"
"20260701","16:30","11298","2966","1888","4294","132","340","1048","152","824","1052","0","314","0","210","-10","2168","266","11308"
"20260701","17:00","11154","2968","1806","4270","138","350","1046","152","824","848","0","366","0","126","-18","1988","268","11156"
"20260701","17:30","11062","2964","1752","4206","138","346","1144","152","828","698","0","380","0","126","-20","1912","272","11074"
"20260701","18:00","10912","2956","1776","4220","138","346","1168","152","826","412","0","384","0","128","-16","1872","294","10912"
"20260701","18:30","10884","2954","1598","4234","142","340","1170","152","828","264","0","400","0","126","6","1620","300","10894"
"20260701","19:00","10846","2958","1686","4236","142","338","1170","152","828","114","0","388","0","130","20","1612","298","10848"
"20260701","19:30","10806","2954","1766","4278","142","334","1174","152","826","36","0","386","0","132","20","1684","302","10818"
"20260701","20:00","10682","2960","1458","4126","138","338","1172","152","826","2","0","404","0","126","20","1340","300","10682"
"20260701","20:30","10430","2968","1356","4040","136","334","1174","154","828","2","0","388","0","86","14","1332","294","10442"
"20260701","21:00","10266","2966","1444","4208","128","336","1178","150","830","0","0","346","0","-2","6","1612","288","10266"
"20260701","21:30","10030","2972","1318","4290","124","332","1200","152","828","0","0","288","0","0","4","1744","274","10038"
"20260701","22:00","9778","2972","1226","4252","118","334","1208","152","824","0","0","268","0","0","0","1840","268","9782"
"20260701","22:30","9672","2972","1302","4108","114","330","1208","152","828","0","0","258","0","0","2","1860","268","9682"
"20260701","23:00","9408","2968","916","4110","108","336","1166","152","832","0","0","230","0","8","10","1692","266","9410"
"20260701","23:30","9398","2972","572","3898","104","334","1082","152","828","0","0","224","0","194","-4","1212","266","9410"
"20260701","24:00","9060","2968","436","3392","94","330","1060","150","828","0","0","202","0","178","-20","824","266","9060"
"20260702","0:30","8722","2966","400","3286","96","312","1036","154","826","0","0","224","0","178","-24","984","262","8732"
