単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/8/1,0:00,8000,788,3438,5243,30,277,703,104,600,0,0,465,0,2,-3,-3650,3,8000
2025/8/1,0:30,7788,786,3506,5124,29,276,690,102,601,0,0,488,0,2,-3,-3816,3,7788
2025/8/1,1:00,7626,784,3388,5119,27,279,690,104,602,0,0,479,0,2,-3,-3848,3,7626
2025/8/1,1:30,7497,784,3126,5112,27,279,695,105,605,0,0,481,0,2,-2,-3720,3,7497
2025/8/1,2:00,7460,788,3280,5109,27,275,688,104,606,0,0,479,0,2,-3,-3898,3,7460
2025/8/1,2:30,7474,788,3390,5091,26,278,682,105,604,0,0,478,0,2,-1,-3972,3,7474
2025/8/1,3:00,7524,784,3208,5097,27,278,685,102,604,0,0,438,0,2,-2,-3702,3,7524
2025/8/1,3:30,7430,788,2866,4982,26,278,683,104,605,0,0,368,0,2,-1,-3274,3,7430
2025/8/1,4:00,7582,786,2928,5025,27,277,676,105,603,0,0,327,0,2,-1,-3176,3,7582
2025/8/1,4:30,7687,788,2852,4986,28,280,671,103,605,18,0,300,0,2,-1,-2948,3,7687
2025/8/1,5:00,7761,786,2882,4959,29,279,679,106,604,190,0,282,0,2,-2,-3038,3,7761
2025/8/1,5:30,7848,786,2728,5058,29,278,707,105,616,518,0,237,0,2,-1,-3218,3,7848
2025/8/1,6:00,8008,790,2628,5256,31,281,731,106,621,1058,0,238,0,2,-3,-3734,3,8008
2025/8/1,6:30,8363,784,2580,5262,31,279,745,109,620,1695,0,236,0,2,-1,-3988,9,8363
2025/8/1,7:00,8833,790,2630,5229,33,281,810,111,633,2407,0,247,0,2,-1,-4352,13,8833
2025/8/1,7:30,9537,784,2888,5269,35,280,842,113,645,3043,0,261,0,2,-19,-4616,10,9537
2025/8/1,8:00,10411,784,3506,5328,37,279,918,117,659,3465,0,295,0,2,4,-4992,9,10411
2025/8/1,8:30,11238,786,4184,5377,40,275,948,119,661,3714,0,319,0,2,-3,-5192,8,11238
2025/8/1,9:00,11705,780,4204,5390,41,278,1015,121,672,4022,0,275,0,2,-4,-5100,9,11705
2025/8/1,9:30,12012,788,4222,5372,41,277,1063,122,692,4315,0,218,0,2,-6,-5104,10,12012
2025/8/1,10:00,12133,782,4066,5385,42,280,1043,123,683,4603,0,218,0,1,-7,-5094,8,12133
2025/8/1,10:30,12399,784,4206,5510,42,276,1050,122,699,4739,0,254,0,0,-15,-5278,10,12399
2025/8/1,11:00,12469,786,4298,5550,43,281,1027,119,699,4843,0,281,0,1,-16,-5450,7,12469
2025/8/1,11:30,12592,786,4360,5421,43,283,1013,118,693,5026,0,298,0,1,-19,-5440,9,12592
2025/8/1,12:00,12283,782,4262,5245,44,280,1059,118,692,4976,0,326,0,0,-53,-5456,8,12283
2025/8/1,12:30,12342,784,4284,5472,44,291,1063,118,688,4785,0,334,0,1,-59,-5472,9,12342
2025/8/1,13:00,12732,784,4772,5588,44,369,1087,116,686,4352,0,363,0,1,-16,-5424,10,12732
2025/8/1,13:30,12797,784,5182,5741,44,371,1117,120,700,3870,0,358,0,0,3,-5500,7,12797
2025/8/1,14:00,12844,788,5324,5778,44,374,1072,116,679,3489,0,333,0,1,-6,-5156,8,12844
2025/8/1,14:30,12758,778,5570,5781,45,376,1038,112,669,2996,0,333,0,1,-1,-4952,12,12758
2025/8/1,15:00,12688,784,5626,5778,45,377,1040,110,654,2411,0,356,0,0,-5,-4500,12,12688
2025/8/1,15:30,12528,786,5632,5824,45,384,1007,107,626,1804,0,352,0,1,0,-4052,12,12528
2025/8/1,16:00,12560,784,5676,5835,45,391,1030,106,606,1328,0,344,0,1,12,-3608,10,12560
2025/8/1,16:30,12253,788,5484,5842,45,395,1034,109,606,940,0,331,0,0,14,-3344,9,12253
2025/8/1,17:00,11846,782,5026,5852,44,395,1043,108,601,574,0,325,0,1,16,-2934,13,11846
2025/8/1,17:30,11647,790,5156,5860,44,391,1039,110,602,294,0,332,0,1,12,-2996,12,11647
2025/8/1,18:00,11302,786,5458,5911,44,396,1027,106,595,111,0,343,0,0,17,-3504,12,11302
