単位[MW平均],,,供給力,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/1,0:00,6500,0,1868,4288,22,222,0,1706,164,667,0,0,0,589,0,-3,-2,-3024,3,6500
2026/5/1,0:30,6347,0,1626,4293,21,220,0,1698,161,667,0,0,0,634,0,-5,-1,-2970,3,6347
2026/5/1,1:00,6391,0,1684,4318,21,220,0,1690,163,666,0,0,0,685,0,-215,-2,-2842,3,6391
2026/5/1,1:30,6462,0,1844,4340,21,223,0,1684,163,667,0,0,0,723,0,-227,-1,-2978,3,6462
2026/5/1,2:00,6582,0,2040,4355,21,223,0,1686,162,663,0,0,0,773,0,-227,-1,-3116,3,6582
2026/5/1,2:30,6690,0,2034,4328,22,220,0,1685,163,663,0,0,0,795,0,-227,-1,-2996,4,6690
2026/5/1,3:00,6872,0,1928,4262,23,221,0,1712,163,661,0,0,0,791,0,-227,-2,-2664,4,6872
2026/5/1,3:30,6991,0,1990,4352,23,222,0,1710,161,667,0,0,0,777,0,-227,-1,-2686,3,6991
2026/5/1,4:00,7043,0,2140,4295,24,222,0,1690,162,674,0,0,0,799,0,-225,-1,-2740,3,7043
2026/5/1,4:30,7138,0,2098,4418,26,217,0,1686,160,679,0,11,0,836,0,-227,0,-2770,4,7138
2026/5/1,5:00,7168,0,1924,4472,26,222,0,1686,163,675,0,81,0,882,0,-3,-1,-2962,3,7168
2026/5/1,5:30,7316,0,2106,4476,26,222,0,1690,162,680,0,206,0,879,0,-3,0,-3132,4,7316
2026/5/1,6:00,7316,0,2158,4597,26,222,0,1672,161,680,0,348,0,836,0,-3,-1,-3386,6,7316
2026/5/1,6:30,7501,0,2202,4638,27,225,0,1686,164,680,0,503,0,817,0,-3,-2,-3450,14,7501
2026/5/1,7:00,7617,0,2294,4636,27,227,0,1782,162,682,0,668,0,821,0,-3,-3,-3700,24,7617
2026/5/1,7:30,7815,0,2202,4646,28,260,0,1803,161,691,0,745,0,871,0,-3,0,-3606,17,7815
2026/5/1,8:00,8198,0,2458,4631,29,278,0,1785,165,689,0,729,0,935,0,-3,-1,-3512,15,8198
2026/5/1,8:30,8569,0,2792,4634,30,295,0,1786,164,687,0,703,0,991,0,-3,0,-3522,12,8569
2026/5/1,9:00,8713,0,3002,4659,30,297,0,1741,162,682,0,672,0,1005,0,-3,4,-3554,16,8713
2026/5/1,9:30,8874,0,3280,4709,30,294,0,1738,163,684,0,715,0,1008,0,-3,-3,-3758,17,8874
