DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2024/1/1 0:00,7471,1312,9492,0,0,0,624,0,154,609,0,-4720
2024/1/1 1:00,7515,1334,8988,0,0,0,637,0,153,611,0,-4208
2024/1/1 2:00,7659,1343,8872,0,0,0,676,0,152,609,0,-3993
2024/1/1 3:00,7857,1412,9069,0,0,0,741,0,153,602,0,-4120
2024/1/1 4:00,7991,1458,9106,0,0,0,940,0,153,599,0,-4265
2024/1/1 5:00,7974,1496,9051,0,0,0,1053,0,153,602,0,-4381
2024/1/1 6:00,7796,1502,9749,0,1,0,896,0,153,601,0,-5106
2024/1/1 7:00,7660,1502,9327,0,254,0,649,0,153,595,0,-4820
2024/1/1 8:00,7710,1515,7712,0,1147,0,444,0,153,593,0,-3854
2024/1/1 9:00,7624,1448,6371,0,2325,0,323,0,153,588,0,-3584
2024/1/1 10:00,7453,1432,5544,0,3418,0,344,0,152,576,-32,-3981
2024/1/1 11:00,7312,1426,4904,0,3996,0,348,0,152,580,-222,-3872
2024/1/1 12:00,7166,1406,4765,0,3971,0,414,0,153,592,-431,-3704
2024/1/1 13:00,6997,1384,5355,0,3037,0,450,0,154,611,-327,-3667
2024/1/1 14:00,7018,1374,6117,0,1971,0,477,0,151,579,0,-3651
2024/1/1 15:00,7246,1400,7602,0,515,0,431,0,154,599,0,-3455
2024/1/1 16:00,7778,1444,9418,0,13,0,408,0,152,588,0,-4245
2024/1/1 17:00,8435,1431,10497,0,0,0,346,0,153,587,140,-4719
2024/1/1 18:00,8454,1423,10551,0,0,0,285,0,153,587,142,-4687
2024/1/1 19:00,8432,1427,10793,0,0,0,253,0,153,587,145,-4926
2024/1/1 20:00,8370,1361,10567,0,0,0,258,0,152,586,143,-4697
2024/1/1 21:00,8206,1349,10631,0,0,0,223,0,152,586,73,-4808
2024/1/1 22:00,7899,1305,10136,0,0,0,263,0,152,588,0,-4545
2024/1/1 23:00,7955,1296,10004,0,0,0,250,0,153,580,0,-4328
2024/1/2 0:00,7749,1336,9902,0,0,0,283,0,153,566,0,-4491
2024/1/2 1:00,7878,1329,9949,0,0,0,267,0,153,567,0,-4387
2024/1/2 2:00,8124,1326,9963,0,0,0,324,0,151,565,0,-4205
2024/1/2 3:00,8288,1317,10026,0,0,0,388,0,153,563,0,-4159
2024/1/2 4:00,8402,1375,10201,0,0,0,419,0,153,564,0,-4310
2024/1/2 5:00,8452,1379,10129,0,0,0,443,0,153,563,0,-4215
2024/1/2 6:00,8462,1376,10121,0,1,0,439,0,153,562,0,-4190
2024/1/2 7:00,8525,1367,9508,0,334,0,465,0,152,553,0,-3854
2024/1/2 8:00,8718,1316,9371,0,1398,0,410,0,151,537,0,-4465
2024/1/2 9:00,8576,1259,8132,0,2336,0,449,0,151,542,0,-4293
2024/1/2 10:00,8163,1198,7089,0,3336,0,514,0,151,553,0,-4678
2024/1/2 11:00,7877,1204,7066,0,3193,0,564,0,153,582,-104,-4781
2024/1/2 12:00,7693,1199,7479,0,2636,0,519,0,151,589,-433,-4447
2024/1/2 13:00,7562,1182,7577,0,1963,0,450,0,152,581,-110,-4233
2024/1/2 14:00,7460,1181,7123,0,1208,0,503,0,151,575,0,-3281
2024/1/2 15:00,7554,1260,8064,0,304,0,526,0,153,600,0,-3353
2024/1/2 16:00,8218,1301,9678,0,8,0,688,0,152,598,0,-4207
2024/1/2 17:00,8724,1302,10298,0,0,0,848,0,153,599,139,-4615
2024/1/2 18:00,8738,1311,10391,0,0,0,998,0,153,599,142,-4856
2024/1/2 19:00,8710,1309,10407,0,0,0,1178,0,153,599,143,-5079
2024/1/2 20:00,8577,1298,10347,0,0,0,1228,0,153,599,0,-5048
2024/1/2 21:00,8278,1245,10070,0,0,0,1133,0,152,598,0,-4920
2024/1/2 22:00,7893,1233,9748,0,0,0,1045,0,153,597,0,-4883
2024/1/2 23:00,7807,1208,9354,0,0,0,994,0,153,593,0,-4495
2024/1/3 0:00,7465,1209,9009,0,0,0,899,0,152,593,0,-4397
2024/1/3 1:00,7550,1209,8661,0,0,0,893,0,152,594,0,-3959
2024/1/3 2:00,7761,1210,8892,0,0,0,752,0,152,595,0,-3840
2024/1/3 3:00,7917,1213,8998,0,0,0,645,0,152,589,0,-3680
2024/1/3 4:00,8028,1205,9345,0,0,0,446,0,153,588,0,-3709
2024/1/3 5:00,7984,1258,9278,0,0,0,350,0,152,588,0,-3642
2024/1/3 6:00,7893,1350,9199,0,0,0,303,0,151,589,0,-3699
2024/1/3 7:00,7954,1347,9212,0,156,0,239,0,152,587,0,-3739
2024/1/3 8:00,8268,1340,9025,0,837,0,151,0,151,567,0,-3803
2024/1/3 9:00,8379,1298,8275,0,1600,0,67,0,151,569,0,-3581
2024/1/3 10:00,8086,1292,7885,0,2144,0,26,0,152,575,0,-3988
2024/1/3 11:00,7891,1311,8103,0,2342,0,13,0,154,601,0,-4633
2024/1/3 12:00,7837,1298,9117,0,1740,0,8,0,154,586,0,-5066
2024/1/3 13:00,7744,1295,9370,0,1264,0,7,0,152,572,0,-4916
2024/1/3 14:00,7672,1310,9144,0,667,0,10,0,152,587,0,-4198
2024/1/3 15:00,7819,1317,9842,0,206,0,28,0,154,596,0,-4324
2024/1/3 16:00,8378,1317,10514,0,6,0,66,0,153,592,0,-4270
2024/1/3 17:00,8831,1306,11185,0,0,0,104,0,153,595,0,-4512
2024/1/3 18:00,8801,1307,11430,0,0,0,77,0,153,594,0,-4760
2024/1/3 19:00,8654,1306,11021,0,0,0,89,0,152,595,0,-4509
2024/1/3 20:00,8461,1291,10489,0,0,0,107,0,152,598,0,-4176
2024/1/3 21:00,8139,1289,10234,0,0,0,119,0,153,596,0,-4252
2024/1/3 22:00,7662,1286,10016,0,0,0,180,0,152,598,0,-4570
2024/1/3 23:00,7531,1281,9545,0,0,0,247,0,152,598,0,-4292
2024/1/4 0:00,7236,1285,9162,0,0,0,259,0,153,593,0,-4216
2024/1/4 1:00,7396,1284,8883,0,0,0,194,0,153,595,0,-3713
2024/1/4 2:00,7658,1287,9150,0,0,0,181,0,153,597,0,-3710
2024/1/4 3:00,7887,1293,9208,0,0,0,208,0,153,595,0,-3570
2024/1/4 4:00,8095,1301,9409,0,0,0,225,0,153,592,0,-3585
2024/1/4 5:00,8242,1315,9785,0,0,0,291,0,153,590,0,-3892
2024/1/4 6:00,8462,1321,10186,0,0,0,340,0,153,593,0,-4131
2024/1/4 7:00,8722,1392,10883,0,122,0,296,0,153,592,0,-4716
2024/1/4 8:00,9304,1359,11121,0,888,0,263,0,153,586,0,-5066
2024/1/4 9:00,9292,1387,9765,0,2192,0,229,0,154,601,0,-5036
2024/1/4 10:00,9018,1403,7651,0,3747,0,226,0,152,604,-15,-4750
2024/1/4 11:00,8801,1426,6601,0,4317,0,228,0,154,622,-399,-4148
2024/1/4 12:00,8504,1432,6166,0,4220,0,225,0,156,638,-436,-3897
2024/1/4 13:00,8425,1429,6707,0,3661,0,227,0,154,609,-328,-4034
2024/1/4 14:00,8359,1427,7983,0,2422,0,210,0,153,600,0,-4436
2024/1/4 15:00,8463,1482,9256,0,698,0,189,0,155,619,0,-3936
2024/1/4 16:00,9191,1543,10998,0,20,0,197,0,153,591,0,-4311
2024/1/4 17:00,9669,1602,11831,0,0,0,252,0,153,590,209,-4968
2024/1/4 18:00,9678,1617,11877,0,0,0,199,0,153,591,284,-5043
2024/1/4 19:00,9517,1619,11586,0,0,0,232,0,153,592,284,-4949
2024/1/4 20:00,9269,1661,11481,0,0,0,282,0,153,602,144,-5054
2024/1/4 21:00,8838,1652,11071,0,0,0,238,0,153,603,0,-4879
2024/1/4 22:00,8298,1636,10471,0,0,0,224,0,154,599,0,-4786
2024/1/4 23:00,8190,1565,10206,0,0,0,274,0,154,603,0,-4612
2024/1/5 0:00,7974,1511,9946,0,0,0,335,0,154,603,0,-4575
2024/1/5 1:00,8152,1505,9832,0,0,0,320,0,154,604,0,-4263
2024/1/5 2:00,8409,1498,9879,0,0,0,293,0,154,604,0,-4019
2024/1/5 3:00,8624,1495,9934,0,0,0,281,0,153,603,0,-3842
2024/1/5 4:00,8824,1533,9943,0,0,0,350,0,153,605,0,-3760
2024/1/5 5:00,9197,1538,10171,0,0,0,454,0,153,604,0,-3723
2024/1/5 6:00,9655,1542,11055,0,2,0,475,0,153,597,0,-4169
2024/1/5 7:00,9938,1560,11225,0,380,0,625,0,151,583,0,-4586
2024/1/5 8:00,10577,1570,10669,0,1827,0,833,0,151,567,0,-5040
2024/1/5 9:00,10556,1573,8945,0,3500,0,896,0,153,594,0,-5105
2024/1/5 10:00,10063,1587,8337,0,4414,0,935,0,157,620,0,-5987
2024/1/5 11:00,9756,1531,7293,0,4709,0,1011,0,158,633,0,-5579
2024/1/5 12:00,9281,1536,6782,0,4216,0,1154,0,159,652,0,-5218
2024/1/5 13:00,9403,1543,7942,0,3401,0,1339,0,158,633,0,-5613
2024/1/5 14:00,9367,1531,8609,0,2131,0,1451,0,157,622,0,-5134
2024/1/5 15:00,9455,1551,10065,0,581,0,1371,0,157,621,0,-4891
2024/1/5 16:00,10035,1624,11306,0,19,0,1384,0,157,598,0,-5053
2024/1/5 17:00,10088,1627,11777,0,0,0,1228,0,157,596,0,-5297
2024/1/5 18:00,9914,1638,12177,0,0,0,1027,0,157,595,0,-5680
2024/1/5 19:00,9547,1639,11749,0,0,0,753,0,156,593,0,-5343
2024/1/5 20:00,9155,1611,11083,0,0,0,681,0,156,592,0,-4968
2024/1/5 21:00,8686,1513,10351,0,0,0,804,0,156,589,0,-4727
