fy,rs_med,rs_q1,rs_q3,abs_med,p_mean,pf_eh,naive_eh,forecast_eh
2016,0.634,0.493,0.842,5.515,8.207,709.533,484.43,292.381
2017,0.714,0.565,0.9,6.154,9.55,835.848,612.087,312.743
2018,0.559,0.461,0.715,4.416,8.35,657.575,485.73,404.352
2019,0.644,0.508,1.144,4.557,6.823,871.319,616.964,629.578
2020,1.075,0.751,1.606,5.404,10.719,1499.247,1135.293,1103.527
2021,1.14,0.579,1.8,10.281,11.292,1420.455,1053.521,1156.511
2022,1.588,0.968,2.057,19.831,14.421,1689.673,1197.838,1344.825
2023,1.274,0.764,1.8,10.848,9.138,1370.225,1046.405,1138.582
2024,0.967,0.698,1.51,10.809,10.861,1141.85,910.131,939.1
2025,0.859,0.644,1.415,9.15,9.814,1056.273,814.883,887.738
