年度,0.01円コマ数,出力制御日数,TB4hスプレッド中央値,tb4h_q1,tb4h_q3,平均価格,太陽光最大実績MW
2016,0.0,0,5.514999999999999,3.481250000000001,7.143749999999999,8.207000570776255,5129.0
2017,0.0,0,6.153749999999999,4.16,9.475,9.54961700913242,6244.0
2018,39.0,42,4.416250000000002,3.5812500000000007,5.51,8.35019691780822,6656.0
2019,693.0,115,4.556875000000001,3.6087500000000006,6.884062500000001,6.822706625683059,7454.0
2020,867.0,105,5.4037500000000005,3.77625,8.28,10.71929908675799,8048.0
2021,1515.0,108,10.28125,4.855,20.6925,11.292430365296804,8628.0
2022,1909.0,149,19.83125,14.755,25.505,14.421239155251142,8775.0
2023,2178.0,158,10.8475,8.055312499999998,13.5325,9.138225182149363,9134.0
2024,1167.0,148,10.808750000000002,8.083750000000004,13.4425,10.86084303652968,8838.0
2025,983.0,157,9.15,6.543750000000001,11.6375,9.813920091324201,9543.0
